season,player,position,age,team,games,player_efficiency_rating,points,rebounds,assists,steals,blocks
2017,Chris McCullough,PF,21,BRK,14,16.8,35,17,2,1,2
2017,Chris McCullough,PF,21,WAS,2,1.1,1,2,0,1,0
2017,Chris Paul,PG,31,LAC,61,26.2,1104,304,563,118,8
2017,Christian Wood,PF,21,CHO,13,15.1,35,29,2,3,6
2017,Clint Capela,C,22,HOU,65,21.4,818,526,64,34,80
2017,Cody Zeller,PF,24,CHO,62,16.7,639,405,99,62,58
2017,Cole Aldrich,C,28,MIN,62,12.7,105,158,25,25,23
2017,Corey Brewer,SF,30,HOU,58,7.5,242,114,61,37,11
2017,Corey Brewer,SF,30,LAL,24,13.3,129,52,36,24,8
2017,Cory Joseph,SG,25,TOR,80,13.2,740,235,265,66,13
2017,Courtney Lee,SG,31,NYK,77,12.1,835,260,179,81,23
2017,Cristiano Felicio,C,24,CHI,66,15.2,316,311,40,25,16
2017,D.J. Augustin,PG,29,ORL,78,11,616,117,209,31,1
2017,D'Angelo Russell,PG,20,LAL,63,15.3,984,222,303,87,16
2017,Dahntay Jones,SF,36,CLE,1,14.7,9,2,1,0,0
2017,Damian Jones,C,21,GSW,10,5.3,19,23,0,1,4
2017,Damian Lillard,PG,26,POR,75,24.1,2024,368,439,68,20
2017,Damjan Rudez,SF,30,ORL,45,6.3,82,25,20,12,1
2017,Daniel Ochefu,C,23,WAS,19,6.6,24,22,3,2,0
2017,Danilo Gallinari,SF,28,DEN,63,17.4,1145,326,135,40,15
2017,Danny Green,SG,29,SAS,68,10.2,497,224,124,71,58
2017,Dante Cunningham,SF,29,NOP,66,10.2,435,277,36,39,28
2017,Dante Exum,PG,21,UTA,66,8.6,412,132,112,21,12
2017,Danuel House,SG,23,WAS,1,12.2,0,1,0,0,0
2017,Dario Saric,PF,22,PHI,81,12.8,1040,513,182,57,30
2017,Darrell Arthur,PF,28,DEN,41,12.8,262,112,42,19,21
2017,Darren Collison,PG,29,SAC,68,15.3,900,153,312,67,9
2017,Darrun Hilliard,SG,23,DET,39,5.9,127,33,33,11,2
2017,David Lee,PF,33,SAS,79,18.4,576,440,124,31,40
2017,David Nwaba,SG,24,LAL,20,12.1,120,62,14,13,7
2017,David West,C,36,GSW,68,16.6,316,203,151,42,48
2017,Davis Bertans,PF,24,SAS,67,12.9,303,99,46,20,28
2017,DeAndre Jordan,C,28,LAC,81,21.8,1029,1114,96,52,135
2017,DeAndre Liggins,SG,28,CLE,61,7.2,144,101,54,45,14
2017,DeAndre Liggins,SG,28,DAL,1,17.6,8,7,0,2,0
2017,DeAndre' Bembry,SF,22,ATL,38,8.8,101,59,28,8,5
2017,Dejounte Murray,PG,20,SAS,38,9.6,130,42,48,8,6
2017,Delon Wright,PG,24,TOR,27,15,150,48,57,27,11
2017,DeMar DeRozan,SG,27,TOR,74,24,2020,386,290,78,13
2017,DeMarcus Cousins,C,26,SAC,55,26.5,1528,585,266,75,73
2017,DeMarcus Cousins,C,26,NOP,17,23.3,414,212,66,25,19
2017,DeMarre Carroll,SF,30,TOR,72,11.9,638,275,74,81,27
2017,Demetrius Jackson,PG,22,BOS,5,30.8,10,4,3,0,0
2017,Dennis Schroder,PG,23,ATL,79,16.1,1414,248,499,74,16
2017,Denzel Valentine,SG,23,CHI,57,7.3,291,151,63,30,7
2017,Deron Williams,PG,32,DAL,40,15,522,102,274,25,2
2017,Deron Williams,PG,32,CLE,24,11.4,179,45,86,6,6
2017,Derrick Favors,PF,25,UTA,50,15.8,476,305,56,45,40
2017,Derrick Jones,SF,19,PHO,32,12,168,79,12,14,13
2017,Derrick Rose,PG,28,NYK,64,17,1154,246,283,44,17
2017,Derrick Williams,PF,25,MIA,25,10.1,148,73,14,9,5
2017,Derrick Williams,PF,25,CLE,25,11.1,156,57,14,5,2
2017,Devin Booker,SG,20,PHO,78,14.6,1726,249,268,72,21
2017,Devin Harris,PG,33,DAL,65,13.8,437,127,136,43,7
2017,Dewayne Dedmon,C,27,SAS,76,16,387,495,44,37,61
2017,Deyonta Davis,C,20,MEM,36,10.6,58,60,2,3,17
2017,Diamond Stone,C,19,LAC,7,-1.2,10,6,0,0,1
2017,Dion Waiters,SG,25,MIA,46,14.5,729,154,200,41,20
2017,Dirk Nowitzki,PF,38,DAL,54,17,769,353,82,30,38
2017,Domantas Sabonis,PF,20,OKC,81,6.9,479,287,82,39,32
2017,Donatas Motiejunas,PF,26,NOP,34,9.2,150,101,34,18,11
2017,Dorian Finney-Smith,PF,23,DAL,81,7.7,350,221,67,52,25
2017,Doug McDermott,SF,25,CHI,44,11.3,447,130,45,11,4
2017,Doug McDermott,SF,25,OKC,22,9.3,145,49,13,2,1
2017,Dragan Bender,PF,19,PHO,43,5.3,146,103,23,10,22
2017,Draymond Green,PF,26,GSW,76,16.5,776,599,533,154,106
2017,Dwight Howard,C,31,ATL,74,20.8,1002,940,104,64,92
2017,Dwight Powell,C,25,DAL,77,17.6,516,306,49,61,39
2017,Dwyane Wade,SG,35,CHI,60,18.5,1096,271,229,86,41
2017,E'Twaun Moore,SG,27,NOP,73,12.1,700,152,164,50,32
2017,Ed Davis,PF,27,POR,46,11.5,200,243,27,15,22
2017,Edy Tavares,C,24,ATL,1,13.1,2,1,0,0,0
2017,Edy Tavares,C,24,CLE,1,22.6,6,10,1,0,6
2017,Elfrid Payton,PG,22,ORL,82,17.2,1046,387,529,88,40
2017,Elijah Millsap,SG,29,PHO,2,-3.4,3,6,1,0,0
2017,Emmanuel Mudiay,PG,20,DEN,55,10.9,603,178,217,41,13
2017,Enes Kanter,C,24,OKC,72,23.7,1033,482,67,32,38
2017,Eric Bledsoe,PG,27,PHO,66,20.6,1390,320,418,92,31
2017,Eric Gordon,SG,28,HOU,75,13.1,1217,201,188,48,40
2017,Ersan Ilyasova,PF,29,OKC,3,6.9,15,16,1,3,1
2017,Ersan Ilyasova,PF,29,PHI,53,15.4,786,314,97,33,14
2017,Ersan Ilyasova,PF,29,ATL,26,13.5,270,151,43,22,8
2017,Evan Fournier,SG,24,ORL,68,13.9,1167,209,202,66,4
2017,Evan Turner,SF,28,POR,65,11.4,586,247,205,53,24
2017,Frank Kaminsky,C,23,CHO,75,13,874,336,162,47,34
2017,Fred VanVleet,PG,22,TOR,37,10.5,107,42,35,17,2
2017,Garrett Temple,SG,30,SAC,65,11.2,506,183,169,84,28
2017,Gary Harris,SG,22,DEN,57,16.5,851,178,164,71,8
2017,Gary Neal,SG,32,ATL,2,-4.3,4,1,1,0,0
2017,Gary Payton,PG,24,MIL,6,4.5,20,12,13,3,4
2017,George Hill,PG,30,UTA,49,19.3,829,167,203,50,11
2017,Georges Niang,PF,23,IND,23,0.1,21,17,5,3,0
2017,Georgios Papagiannis,C,19,SAC,22,12.7,124,86,20,3,17
2017,Gerald Green,SF,31,BOS,47,12,262,85,33,9,7
2017,Gerald Henderson,SG,29,PHI,72,10.8,662,185,112,41,15
2017,Giannis Antetokounmpo,SF,22,MIL,80,26.1,1832,700,434,131,151
2017,Glenn Robinson,SF,23,IND,69,11.5,419,245,47,41,20
2017,Goran Dragic,PG,30,MIA,73,19.7,1483,278,423,89,13
2017,Gordon Hayward,SF,26,UTA,73,22.2,1601,393,252,73,20
2017,Gorgui Dieng,PF,27,MIN,82,14.2,816,647,158,88,95
2017,Greg Monroe,C,26,MIL,81,21.1,951,532,187,92,38
2017,Greivis Vasquez,PG,30,BRK,3,4.1,7,2,5,1,1
2017,Harrison Barnes,PF,24,DAL,79,16.3,1518,397,117,66,15
2017,Hassan Whiteside,C,27,MIA,77,22.6,1309,1088,57,56,161
2017,Henry Ellenson,PF,20,DET,19,7.5,60,41,7,1,1
2017,Hollis Thompson,SG,25,PHI,31,9,171,83,26,14,6
2017,Hollis Thompson,SG,25,NOP,9,4.7,34,28,9,6,0
2017,Ian Clark,SG,25,GSW,77,13.1,527,122,90,39,8
2017,Ian Mahinmi,C,30,WAS,31,14.1,173,150,19,33,24
2017,Iman Shumpert,SG,26,CLE,76,9,567,219,109,62,27
2017,Isaiah Canaan,SG,25,CHI,39,8.1,181,49,37,22,1
2017,Isaiah Taylor,PG,22,HOU,4,0.3,3,3,3,1,1
2017,Isaiah Thomas,PG,27,BOS,76,26.5,2199,205,449,70,13
2017,Isaiah Whitehead,PG,21,BRK,73,7.5,543,184,192,42,36
2017,Ish Smith,PG,28,DET,81,14.7,758,235,418,61,33
2017,Ivica Zubac,C,19,LAL,38,17,284,159,30,14,33
2017,J.J. Barea,PG,32,DAL,35,17.2,381,84,193,14,1
2017,J.J. Redick,SG,32,LAC,78,14.8,1173,171,110,55,13
2017,J.R. Smith,SG,31,CLE,41,8.1,351,113,62,40,11
2017,Jabari Parker,PF,21,MIL,51,19.1,1025,314,142,51,22
2017,Jae Crowder,SF,26,BOS,72,14.9,999,415,155,72,23
2017,Jahlil Okafor,C,21,PHI,50,14.8,590,240,58,20,49
2017,Jake Layman,SF,22,POR,35,4.9,78,24,11,9,3
2017,Jakob Poeltl,C,21,TOR,54,12.2,165,165,12,17,20
2017,Jamal Crawford,SG,36,LAC,82,12,1008,129,213,59,14
2017,Jamal Murray,SG,19,DEN,82,11.9,811,214,170,52,24
2017,Jameer Nelson,PG,34,DEN,75,11.4,687,192,385,53,8
2017,James Ennis,SF,26,MEM,64,10.6,429,259,64,46,19
2017,James Harden,PG,27,HOU,81,27.3,2356,659,906,120,37
2017,James Johnson,PF,29,MIA,76,17,975,375,276,76,86
2017,James Jones,SF,36,CLE,48,11.3,132,38,14,7,10
2017,James Michael,PF,24,GSW,52,13,147,90,17,18,29
2017,James Young,SG,21,BOS,29,10,68,26,4,10,2
2017,JaMychal Green,PF,26,MEM,77,13.5,689,544,84,46,34
2017,Jared Dudley,PF,31,PHO,64,10.6,434,225,121,42,16
2017,Jared Sullinger,PF,24,TOR,11,5.6,37,27,3,4,1
2017,Jarell Eddie,SF,25,PHO,5,9.7,24,7,0,1,0
2017,Jarell Martin,PF,22,MEM,42,8.7,165,162,8,17,9
2017,Jarnell Stokes,C,23,DEN,2,31.5,3,2,2,1,0
2017,Jarrett Jack,PG,33,NOP,2,7.7,6,0,5,2,0
2017,Jarrod Uthoff,PF,23,DAL,9,13.9,40,22,9,2,4
2017,Jason Smith,C,30,WAS,74,13.6,420,258,37,21,55
2017,Jason Terry,SG,39,MIL,74,9,307,106,98,45,20
2017,JaVale McGee,C,29,GSW,77,25.2,472,244,17,19,67
